src_ip,packet_count,avg_packet_size,total_bytes,unique_destinations,unique_ports,protocol_count,attack_type
100.51.1.30,17,422.0,7174,1,1,1,normal
104.154.150.116,16,322.1875,5155,1,1,1,normal
104.18.41.41,177,289.49152542372883,51240,1,1,1,normal
107.23.123.175,20,530.05,10601,1,1,1,normal
127.0.0.1,725,95.35586206896552,69133,1,1,1,normal
127.0.0.53,719,162.2586926286509,116664,1,466,1,normal
13.226.140.150,59,1034.406779661017,61030,1,4,1,normal
13.227.246.101,76,8111.605263157895,616482,1,2,1,normal
142.250.139.100,34,520.3823529411765,17693,1,2,1,normal
142.250.69.106,25,1045.36,26134,1,1,1,normal
142.250.69.131,15,420.6666666666667,6310,1,1,1,normal
142.250.69.34,24,479.5416666666667,11509,1,2,1,normal
142.250.69.35,30,566.5333333333333,16996,1,1,1,normal
142.250.69.46,68,851.0882352941177,57874,1,4,1,normal
142.250.69.86,18,426.1666666666667,7671,1,1,1,normal
142.251.152.119,14,484.2857142857143,6780,1,1,1,normal
142.251.154.119,28,634.1071428571429,17755,1,1,1,normal
142.251.157.119,24,1524.4166666666667,36586,1,1,1,normal
150.171.22.12,15,447.3333333333333,6710,1,1,1,normal
151.101.1.91,96,660.1354166666666,63373,1,7,1,normal
151.101.129.91,106,428.0,45368,1,4,1,normal
151.101.193.91,41,523.4146341463414,21460,1,3,1,normal
151.101.194.133,31,3492.032258064516,108253,1,1,1,normal
151.101.2.133,11,526.0,5786,1,1,1,normal
151.101.65.91,29,543.551724137931,15763,1,2,1,normal
172.16.46.1,17,223.35294117647058,3797,2,2,1,normal
172.16.46.130,20,104.0,2080,1,1,1,normal
172.16.46.135,3718,329.9610005379236,1226795,51,6,3,normal
172.16.46.2,737,146.63500678426053,108070,1,725,1,normal
172.64.154.50,132,910.0833333333334,120131,1,11,1,normal
185.125.190.101,4,110.75,443,1,1,1,normal
185.125.190.121,4,66.0,264,1,1,1,normal
185.125.190.122,4,66.0,264,1,1,1,normal
185.125.190.123,4,66.0,264,1,1,1,normal
23.205.255.41,27,2193.074074074074,59213,1,1,1,normal
23.222.17.229,55,446.0181818181818,24531,1,3,1,normal
31.13.80.36,17,354.88235294117646,6033,1,1,1,normal
34.107.221.82,34,110.29411764705883,3750,1,6,1,normal
34.107.243.93,49,326.14285714285717,15981,1,4,1,normal
34.111.211.209,122,325.54918032786884,39717,1,9,1,normal
34.120.208.123,280,200.13214285714287,56037,1,7,1,normal
34.120.237.76,246,241.6260162601626,59440,1,11,1,normal
34.120.250.63,38,284.0,10792,1,1,1,normal
34.149.117.202,26,354.53846153846155,9218,1,2,1,normal
34.160.144.191,42,391.7142857142857,16452,1,4,1,normal
44.194.246.166,36,216.5,7794,1,1,1,normal
64.233.178.149,15,420.4,6306,1,1,1,normal
64.233.178.190,584,10398.010273972603,6072438,1,3,1,normal
64.233.178.84,84,1962.9166666666667,164885,1,3,1,normal
64.233.178.94,223,509.03139013452915,113514,1,5,1,normal
74.125.250.129,2,80.0,160,1,2,1,normal
91.189.91.111,4,66.0,264,1,1,1,normal
91.189.91.112,4,66.0,264,1,1,1,normal
91.189.91.113,4,66.0,264,1,1,1,normal
172.16.46.130,1001,66.0,66066,1,1000,1,nmap
172.16.46.135,1000,60.004,60004,1,1,1,nmap
172.16.46.1,22,330.1363636363636,7263,1,1,1,hydra
172.16.46.130,463,141.69546436285097,65605,1,1,1,hydra
172.16.46.135,596,136.90436241610738,81595,2,56,2,hydra
172.16.46.2,1,263.0,263,1,1,1,hydra
127.0.0.1,141,106.52482269503547,15020,2,3,2,dos
127.0.0.53,132,105.12121212121212,13876,1,35,1,dos
172.16.46.130,173920,66.0,11478720,1,1,1,dos
172.16.46.135,10270,77.2012658227848,792857,4,4226,3,dos
